,tweet_id,retweet_count,fav_count
1150,719367763014393856,685,2594
1151,719339463458033665,1114,4069
1152,719332531645071360,852,3174
1153,718971898235854848,981,3191
1154,718939241951195136,1574,4784
1155,718631497683582976,7183,17256
1156,718613305783398402,425,2248
1157,718540630683709445,919,2240
1158,718460005985447936,473,2494
1159,718454725339934721,1369,4490
1160,718246886998687744,446,1752
1161,718234618122661888,910,3551
1162,717841801130979328,541,2269
1163,717790033953034240,981,2628
1164,717537687239008257,1652,5288
1165,717428917016076293,403,1472
1166,717421804990701568,753,2877
1167,717047459982213120,1730,5777
1168,717009362452090881,865,2968
1169,716802964044845056,1045,3944
1170,716791146589110272,1455,7718
1171,716730379797970944,395,1131
1172,716447146686459905,5274,11924
1173,716439118184652801,189,2185
1174,716285507865542656,962,2542
1175,716080869887381504,1698,6216
1176,715928423106027520,790,2916
1177,715758151270801409,1278,3400
1178,715733265223708672,1520,4260
1179,715704790270025728,509,2556
1180,715696743237730304,1158,3604
1181,715680795826982913,1436,3942
1182,715360349751484417,1406,5015
1183,715342466308784130,620,2783
1184,715220193576927233,582,2205
1185,715200624753819648,1679,4733
1186,715009755312439296,1101,3804
1187,714982300363173890,929,3412
1188,714962719905021952,3823,6715
1189,714957620017307648,1273,3797
1190,714631576617938945,891,3004
1191,714606013974974464,824,3327
1192,714485234495041536,1005,2440
1193,714258258790387713,666,2807
1194,714251586676113411,757,3016
1195,714214115368108032,796,2105
1196,714141408463036416,1274,3992
1197,713919462244790272,719,3029
1198,713909862279876608,482,1740
1199,713900603437621249,655,2602
1200,713761197720473600,1233,4437
1201,713411074226274305,1179,4075
1202,713177543487135744,2584,6618
1203,713175907180089344,1325,4066
1204,712809025985978368,6050,17462
1205,712717840512598017,4490,11270
1206,712668654853337088,1096,3813
1207,712438159032893441,1408,4887
1208,712309440758808576,24,221
1209,712097430750289920,928,3448
1210,712092745624633345,806,2693
1211,712085617388212225,433,3000
1212,712065007010385924,564,2065
1213,711998809858043904,120,0
1214,711968124745228288,2080,7389
1215,711743778164514816,904,2608
1216,711732680602345472,3675,8045
1217,711694788429553666,16540,30142
1218,711652651650457602,819,3526
1219,711363825979756544,1013,3305
1220,711306686208872448,674,3037
